Jornada,Juego,Local,Visitante,Momio_L,Momio_E,Momio_V,PG_L,PG_E,PG_V,G
15,3,Tigres,Tijuana,-188,340,490,0.6523,0.2273,0.1695,L
15,4,Club León,Pumas,255,250,120,0.2817,0.2857,0.4545,E
15,5,Chivas,Atlas,-176,310,460,0.62,0.23,0.17,L
15,6,Cruz Azul,Monterrey,-115,290,310,0.5348,0.2564,0.2439,L
15,7,Santos,Queretaro,125,245,220,0.4444,0.2899,0.3125,L
15,8,Toluca,Pachuca,-182,350,425,0.6452,0.2222,0.1905,E
15,9,San Luís,Necaxa,125,265,215,0.4444,0.274,0.3175,V
16,1,Necaxa,Santos,-200,395,530,0.6667,0.202,0.1587,L
16,2,San Luís,FC Juarez,130,240,215,0.4348,0.2941,0.3175,V
16,3,Puebla,Cruz Azul,360,300,-143,0.2174,0.25,0.5882,V
16,4,Atlas,Toluca,350,320,-163,0.2222,0.2381,0.6192,E
16,5,Monterrey,Tigres,166,240,165,0.3759,0.2941,0.3774,E
16,6,América,Club León,-286,440,750,0.7407,0.1852,0.1176,L
16,7,Pumas,Tijuana,-175,330,460,0.6369,0.2326,0.1786,L
16,8,Queretaro,Mazatlan,122,225,215,0.4505,0.3077,0.3175,L
16,9,Pachuca,Chivas,185,240,135,0.3509,0.2941,0.4255,V
17,1,FC Juarez,Queretaro,-175,295,490,0.6365,0.2532,0.1695,V
17,2,Tijuana,Atlas,-143,300,320,0.5882,0.25,0.2381,L
17,3,Mazatlan,Necaxa,255,290,105,0.2817,0.2564,0.4878,E
17,4,Tigres,San Luís,-250,450,800,0.7143,0.1818,0.1111,L
17,5,Chivas,Monterrey,-105,270,260,0.5128,0.2703,0.2778,L
17,6,Club León,Puebla,-125,290,300,0.5556,0.2564,0.25,V
17,7,Toluca,América,150,260,170,0.4,0.2778,0.3704,L
17,8,Cruz Azul,Pumas,-122,290,360,0.5495,0.2564,0.2174,V
17,9,Santos,Pachuca,333,320,-152,0.2309,0.2381,0.6024,L
PI1,1,Pachuca,Pumas,105,230,260,0.4878,0.303,0.2778,L
PI1,2,Tijuana,FC Juarez,120,240,240,0.4545,0.2941,0.2941,L
PI-WL,1,FC Juarez,Pachuca,175,220,160,0.3636,0.3125,0.3846,L
1/4F,1,FC Juarez,Toluca,275,240,103,0.2667,0.2941,0.4926,V
1/4F,2,Monterrey,América,175,220,165,0.3636,0.3125,0.3774,L
1/4F,3,Tijuana,Tigres,230,230,125,0.303,0.303,0.4444,L
1/4F,4,Chivas,Cruz Azul,120,225,214,0.4545,0.3077,0.3185,E
1/4F,5,América,Monterrey,-217,370,580,0.6849,0.2128,0.1471,L
1/4F,6,Toluca,FC Juarez,-312,450,800,0.7576,0.1818,0.1111,E
1/4F,7,Tigres,Tijuana,-303,440,750,0.7519,0.1852,0.1176,L
1/4F,8,Cruz Azul,Chivas,112,225,240,0.4717,0.3077,0.2941,L
SF,1,Cruz Azul,Tigres,133,215,225,0.4292,0.3175,0.3077,E
SF,2,Monterrey,Toluca,168,260,155,0.3731,0.2778,0.3922,L
SF,3,Toluca,Monterrey,-238,400,590,0.7042,0.2,0.1449,L
SF,4,Tigres,Cruz Azul,-111,250,320,0.5263,0.2857,0.2381,E
F,1,Tigres,Toluca,110,230,300,0.4762,0.303,0.25,L
F,2,Toluca,Tigres,-182,330,500,0.6452,0.2326,0.1667,L
